1211	-1	-2	5	233.45	65
1214	-1	-2	5	233.85	145
1225	-1	-2	5	234.35	302
1230	-1	-2	5	235.25	652
1232	-1	-2	5	235.85	941
1236	-1	-2	5	236.45	2648
1241	-1	-2	5	236.95	3772
1242	-1	-2	5	237.25	4269
1249	-1	-2	5	237.75	2525
1256	-1	-2	5	238.45	669
1259	-1	-2	5	238.95	495
1266	-1	-2	5	240.45	161
1270	-1	-2	5	241.45	99
1275	-1	-2	5	242.25	95
1279	-1	-2	5	242.95	93
1281	-1	-2	5	243.25	84
1285	-1	-2	5	243.55	90
1288	-1	-2	5	243.85	82
1291	-1	-2	5	244.25	95
1295	-1	-2	5	244.65	86
1302	-1	-2	5	245.45	120
1304	-1	-2	5	247.25	219
1316	-1	-2	5	248.75	1549
1326	-1	-2	5	248.75	1549
1329	-1	-2	5	249.25	3822
1332	-1	-2	5	249.55	4029
1337	-1	-2	5	250.15	3162
1341	-1	-2	5	250.95	1420
1344	-1	-2	5	251.45	935
1349	-1	-2	5	252.15	424
1352	-1	-2	5	252.85	166
1356	-1	-2	5	253.55	97
1357	-1	-2	5	253.75	59
